[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | INFO: Tag[ app_begin ] --START--
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000056s ]
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000112s ]
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | SQL: SHOW COLUMNS FROM `jd_admin` [ RunTime:0.002033s ]
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | SQL: SELECT * FROM `jd_admin` WHERE ( `user_name` = 'adm' ) AND ( `password` = '7fef6171469e80d32c0559f88b377245' ) AND ( `is_del` = 0 ) LIMIT 1   [ RunTime:0.001028s ]
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | SQL: UPDATE `jd_admin` SET `last_time`=1604905458 WHERE ( `user_name` = 'adm' ) AND ( `password` = '7fef6171469e80d32c0559f88b377245' ) AND ( `is_del` = 0 ) [ RunTime:0.000306s ]
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | INFO: Tag[ view_template ] --START--
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | INFO: Run LocationTemplate Behavior [ RunTime:0.000062s ]
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | INFO: Tag[ view_template ] --END-- [ RunTime:0.000085s ]
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | INFO: Tag[ view_parse ] --START--
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:04:18+08:00 ] /index.php?a=index&m=Login&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
