[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | INFO: Tag[ app_begin ] --START--
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000075s ]
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000177s ]
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | SQL: SHOW COLUMNS FROM `jd_items` [ RunTime:0.000919s ]
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | SQL: SHOW COLUMNS FROM `jd_user` [ RunTime:0.000612s ]
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | NOTIC: [8] Undefined index: id BaseAction.class.php 第 22 行.
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | SQL: SHOW COLUMNS FROM `jd_items_cate` [ RunTime:0.000582s ]
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | SQL: SHOW COLUMNS FROM `jd_items_tags` [ RunTime:0.000939s ]
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | SQL: SELECT `id`,`name`,`pid`,`is_index`,`img` FROM `jd_items_cate` WHERE pid=0 and is_del=0 ORDER BY ord desc LIMIT 10   [ RunTime:0.000321s ]
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | SQL: SHOW COLUMNS FROM `jd_link` [ RunTime:0.000589s ]
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | SQL: SELECT `id`,`name`,`url` FROM `jd_link` WHERE is_del=0 ORDER BY ord desc LIMIT 6   [ RunTime:0.000248s ]
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | SQL: SELECT COUNT(ID) AS tp_count FROM `jd_items` WHERE status=1 and is_del=0 LIMIT 1   [ RunTime:0.000308s ]
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | NOTIC: [8] Undefined index: id UcAction.class.php 第 117 行.
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | INFO: Tag[ view_template ] --START--
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | INFO: Run LocationTemplate Behavior [ RunTime:0.000128s ]
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | INFO: Tag[ view_template ] --END-- [ RunTime:0.000181s ]
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | INFO: Tag[ view_parse ] --START--
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:09:28+08:00 ] /index.php?a=register&m=Uc&g=Home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
