[ 2020-11-09T15:12:47+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%27eKZhPw%3C%27%22%3EdmvxmU | INFO: Tag[ app_begin ] --START--
[ 2020-11-09T15:12:47+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%27eKZhPw%3C%27%22%3EdmvxmU | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000046s ]
[ 2020-11-09T15:12:47+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%27eKZhPw%3C%27%22%3EdmvxmU | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000117s ]
[ 2020-11-09T15:12:47+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%27eKZhPw%3C%27%22%3EdmvxmU | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2020-11-09T15:12:47+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%27eKZhPw%3C%27%22%3EdmvxmU | SQL: SHOW COLUMNS FROM `jd_items` [ RunTime:0.001224s ]
[ 2020-11-09T15:12:47+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%27eKZhPw%3C%27%22%3EdmvxmU | SQL: SHOW COLUMNS FROM `jd_user` [ RunTime:0.000478s ]
[ 2020-11-09T15:12:47+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%27eKZhPw%3C%27%22%3EdmvxmU | NOTIC: [8] Undefined index: id BaseAction.class.php 第 22 行.
[ 2020-11-09T15:12:47+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%27eKZhPw%3C%27%22%3EdmvxmU | SQL: SHOW COLUMNS FROM `jd_items_cate` [ RunTime:0.000430s ]
[ 2020-11-09T15:12:47+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%27eKZhPw%3C%27%22%3EdmvxmU | SQL: SHOW COLUMNS FROM `jd_items_tags` [ RunTime:0.000607s ]
[ 2020-11-09T15:12:47+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%27eKZhPw%3C%27%22%3EdmvxmU | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T15:12:47+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%27eKZhPw%3C%27%22%3EdmvxmU | SQL: SELECT `id`,`name`,`pid`,`is_index`,`img` FROM `jd_items_cate` WHERE pid=0 and is_del=0 ORDER BY ord desc LIMIT 10   [ RunTime:0.000475s ]
[ 2020-11-09T15:12:47+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%27eKZhPw%3C%27%22%3EdmvxmU | SQL: SHOW COLUMNS FROM `jd_link` [ RunTime:0.000662s ]
