[ 2020-11-09T15:13:12+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%209797%3D9704--%20qBdc | INFO: Tag[ app_begin ] --START--
[ 2020-11-09T15:13:12+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%209797%3D9704--%20qBdc | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000068s ]
[ 2020-11-09T15:13:12+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%209797%3D9704--%20qBdc | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000190s ]
[ 2020-11-09T15:13:12+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%209797%3D9704--%20qBdc | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2020-11-09T15:13:12+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%209797%3D9704--%20qBdc | SQL: SHOW COLUMNS FROM `jd_items` [ RunTime:0.000763s ]
[ 2020-11-09T15:13:12+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%209797%3D9704--%20qBdc | SQL: SHOW COLUMNS FROM `jd_user` [ RunTime:0.000673s ]
[ 2020-11-09T15:13:12+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%209797%3D9704--%20qBdc | NOTIC: [8] Undefined index: id BaseAction.class.php 第 22 行.
[ 2020-11-09T15:13:12+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%209797%3D9704--%20qBdc | SQL: SHOW COLUMNS FROM `jd_items_cate` [ RunTime:0.000576s ]
[ 2020-11-09T15:13:12+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%209797%3D9704--%20qBdc | SQL: SHOW COLUMNS FROM `jd_items_tags` [ RunTime:0.000627s ]
[ 2020-11-09T15:13:12+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%209797%3D9704--%20qBdc | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T15:13:12+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%209797%3D9704--%20qBdc | SQL: SELECT `id`,`name`,`pid`,`is_index`,`img` FROM `jd_items_cate` WHERE pid=0 and is_del=0 ORDER BY ord desc LIMIT 10   [ RunTime:0.000386s ]
[ 2020-11-09T15:13:12+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%209797%3D9704--%20qBdc | SQL: SHOW COLUMNS FROM `jd_link` [ RunTime:0.000539s ]
[ 2020-11-09T15:13:12+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%209797%3D9704--%20qBdc | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T15:13:12+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%209797%3D9704--%20qBdc | SQL: SELECT `id`,`name`,`url` FROM `jd_link` WHERE is_del=0 ORDER BY ord desc LIMIT 6   [ RunTime:0.000360s ]
[ 2020-11-09T15:13:12+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%209797%3D9704--%20qBdc | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T15:13:12+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%209797%3D9704--%20qBdc | SQL: SELECT COUNT(ID) AS tp_count FROM `jd_items` WHERE status=1 and is_del=0 LIMIT 1   [ RunTime:0.000236s ]
[ 2020-11-09T15:13:12+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%209797%3D9704--%20qBdc | SQL: SHOW COLUMNS FROM `jd_items_cate` [ RunTime:0.000598s ]
[ 2020-11-09T15:13:12+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%209797%3D9704--%20qBdc | SQL: SHOW COLUMNS FROM `jd_items_tags` [ RunTime:0.000725s ]
[ 2020-11-09T15:13:12+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%209797%3D9704--%20qBdc | SQL: SHOW COLUMNS FROM `jd_items_tags_item` [ RunTime:0.000617s ]
[ 2020-11-09T15:13:12+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%209797%3D9704--%20qBdc | NOTIC: [8] Undefined index: sortby CateAction.class.php 第 107 行.
[ 2020-11-09T15:13:12+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%209797%3D9704--%20qBdc | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T15:13:12+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%209797%3D9704--%20qBdc | SQL: SELECT `name`,`pid`,`seo_title`,`seo_keys`,`seo_desc` FROM `jd_items_tags` WHERE id=4 and is_del=0 LIMIT 1   [ RunTime:0.000325s ]
[ 2020-11-09T15:13:12+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%209797%3D9704--%20qBdc | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T15:13:12+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%209797%3D9704--%20qBdc | SQL: SELECT * FROM `jd_items_cate` WHERE id = 1 and is_del=0 and pid=0 LIMIT 1   [ RunTime:0.000437s ]
[ 2020-11-09T15:13:12+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%209797%3D9704--%20qBdc | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T15:13:12+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%209797%3D9704--%20qBdc | SQL: SELECT * FROM `jd_items_cate` WHERE pid = 1 and is_del = 0 ORDER BY ord desc LIMIT 10   [ RunTime:0.000478s ]
[ 2020-11-09T15:13:12+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%209797%3D9704--%20qBdc | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T15:13:12+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%209797%3D9704--%20qBdc | SQL: SELECT `id`,`name`,`item_nums`,`sid` FROM `jd_items_tags` WHERE sid in (7,8,9,10,11) and is_del = 0 ORDER BY ord desc LIMIT 200   [ RunTime:0.000587s ]
[ 2020-11-09T15:13:12+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%209797%3D9704--%20qBdc | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T15:13:12+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%209797%3D9704--%20qBdc | SQL: SELECT COUNT(*) AS tp_count FROM `jd_items_tags_item` LEFT JOIN  jd_items as i on i.id=jd_items_tags_item.item_id WHERE tag_id=4 and i.is_del=0 and i.status=1 LIMIT 1   [ RunTime:0.000285s ]
[ 2020-11-09T15:13:12+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%209797%3D9704--%20qBdc | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
