[ 2020-11-09T15:13:14+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%206817%20IN%20%28SELECT%20%28CHAR%28113%29%2BCHAR%28118%29%2BCHAR%28122%29%2BCHAR%28120%29%2BCHAR%28113%29%2B%28SELECT%20%28CASE%20WHEN%20%286817%3D6817%29%20THEN%20CHAR%2849%29%20ELSE%20CHAR%2848%29%20END%29%29%2BCHAR%28113%29%2BCHAR%2898%29%2BCHAR%28120%29%2BCHAR%28112%29%2BCHAR%28113%29%29%29 | INFO: Tag[ app_begin ] --START--
[ 2020-11-09T15:13:14+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%206817%20IN%20%28SELECT%20%28CHAR%28113%29%2BCHAR%28118%29%2BCHAR%28122%29%2BCHAR%28120%29%2BCHAR%28113%29%2B%28SELECT%20%28CASE%20WHEN%20%286817%3D6817%29%20THEN%20CHAR%2849%29%20ELSE%20CHAR%2848%29%20END%29%29%2BCHAR%28113%29%2BCHAR%2898%29%2BCHAR%28120%29%2BCHAR%28112%29%2BCHAR%28113%29%29%29 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000071s ]
[ 2020-11-09T15:13:14+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%206817%20IN%20%28SELECT%20%28CHAR%28113%29%2BCHAR%28118%29%2BCHAR%28122%29%2BCHAR%28120%29%2BCHAR%28113%29%2B%28SELECT%20%28CASE%20WHEN%20%286817%3D6817%29%20THEN%20CHAR%2849%29%20ELSE%20CHAR%2848%29%20END%29%29%2BCHAR%28113%29%2BCHAR%2898%29%2BCHAR%28120%29%2BCHAR%28112%29%2BCHAR%28113%29%29%29 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000193s ]
[ 2020-11-09T15:13:14+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%206817%20IN%20%28SELECT%20%28CHAR%28113%29%2BCHAR%28118%29%2BCHAR%28122%29%2BCHAR%28120%29%2BCHAR%28113%29%2B%28SELECT%20%28CASE%20WHEN%20%286817%3D6817%29%20THEN%20CHAR%2849%29%20ELSE%20CHAR%2848%29%20END%29%29%2BCHAR%28113%29%2BCHAR%2898%29%2BCHAR%28120%29%2BCHAR%28112%29%2BCHAR%28113%29%29%29 | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2020-11-09T15:13:14+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%206817%20IN%20%28SELECT%20%28CHAR%28113%29%2BCHAR%28118%29%2BCHAR%28122%29%2BCHAR%28120%29%2BCHAR%28113%29%2B%28SELECT%20%28CASE%20WHEN%20%286817%3D6817%29%20THEN%20CHAR%2849%29%20ELSE%20CHAR%2848%29%20END%29%29%2BCHAR%28113%29%2BCHAR%2898%29%2BCHAR%28120%29%2BCHAR%28112%29%2BCHAR%28113%29%29%29 | SQL: SHOW COLUMNS FROM `jd_items` [ RunTime:0.001019s ]
[ 2020-11-09T15:13:14+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%206817%20IN%20%28SELECT%20%28CHAR%28113%29%2BCHAR%28118%29%2BCHAR%28122%29%2BCHAR%28120%29%2BCHAR%28113%29%2B%28SELECT%20%28CASE%20WHEN%20%286817%3D6817%29%20THEN%20CHAR%2849%29%20ELSE%20CHAR%2848%29%20END%29%29%2BCHAR%28113%29%2BCHAR%2898%29%2BCHAR%28120%29%2BCHAR%28112%29%2BCHAR%28113%29%29%29 | SQL: SHOW COLUMNS FROM `jd_user` [ RunTime:0.000448s ]
[ 2020-11-09T15:13:14+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%206817%20IN%20%28SELECT%20%28CHAR%28113%29%2BCHAR%28118%29%2BCHAR%28122%29%2BCHAR%28120%29%2BCHAR%28113%29%2B%28SELECT%20%28CASE%20WHEN%20%286817%3D6817%29%20THEN%20CHAR%2849%29%20ELSE%20CHAR%2848%29%20END%29%29%2BCHAR%28113%29%2BCHAR%2898%29%2BCHAR%28120%29%2BCHAR%28112%29%2BCHAR%28113%29%29%29 | NOTIC: [8] Undefined index: id BaseAction.class.php 第 22 行.
[ 2020-11-09T15:13:14+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%206817%20IN%20%28SELECT%20%28CHAR%28113%29%2BCHAR%28118%29%2BCHAR%28122%29%2BCHAR%28120%29%2BCHAR%28113%29%2B%28SELECT%20%28CASE%20WHEN%20%286817%3D6817%29%20THEN%20CHAR%2849%29%20ELSE%20CHAR%2848%29%20END%29%29%2BCHAR%28113%29%2BCHAR%2898%29%2BCHAR%28120%29%2BCHAR%28112%29%2BCHAR%28113%29%29%29 | SQL: SHOW COLUMNS FROM `jd_items_cate` [ RunTime:0.000371s ]
[ 2020-11-09T15:13:14+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%206817%20IN%20%28SELECT%20%28CHAR%28113%29%2BCHAR%28118%29%2BCHAR%28122%29%2BCHAR%28120%29%2BCHAR%28113%29%2B%28SELECT%20%28CASE%20WHEN%20%286817%3D6817%29%20THEN%20CHAR%2849%29%20ELSE%20CHAR%2848%29%20END%29%29%2BCHAR%28113%29%2BCHAR%2898%29%2BCHAR%28120%29%2BCHAR%28112%29%2BCHAR%28113%29%29%29 | SQL: SHOW COLUMNS FROM `jd_items_tags` [ RunTime:0.000987s ]
[ 2020-11-09T15:13:14+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%206817%20IN%20%28SELECT%20%28CHAR%28113%29%2BCHAR%28118%29%2BCHAR%28122%29%2BCHAR%28120%29%2BCHAR%28113%29%2B%28SELECT%20%28CASE%20WHEN%20%286817%3D6817%29%20THEN%20CHAR%2849%29%20ELSE%20CHAR%2848%29%20END%29%29%2BCHAR%28113%29%2BCHAR%2898%29%2BCHAR%28120%29%2BCHAR%28112%29%2BCHAR%28113%29%29%29 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T15:13:14+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%206817%20IN%20%28SELECT%20%28CHAR%28113%29%2BCHAR%28118%29%2BCHAR%28122%29%2BCHAR%28120%29%2BCHAR%28113%29%2B%28SELECT%20%28CASE%20WHEN%20%286817%3D6817%29%20THEN%20CHAR%2849%29%20ELSE%20CHAR%2848%29%20END%29%29%2BCHAR%28113%29%2BCHAR%2898%29%2BCHAR%28120%29%2BCHAR%28112%29%2BCHAR%28113%29%29%29 | SQL: SELECT `id`,`name`,`pid`,`is_index`,`img` FROM `jd_items_cate` WHERE pid=0 and is_del=0 ORDER BY ord desc LIMIT 10   [ RunTime:0.000267s ]
