[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%3BSELECT%20PG_SLEEP%285%29-- | INFO: Tag[ app_begin ] --START--
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%3BSELECT%20PG_SLEEP%285%29-- | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000265s ]
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%3BSELECT%20PG_SLEEP%285%29-- | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000372s ]
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%3BSELECT%20PG_SLEEP%285%29-- | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%3BSELECT%20PG_SLEEP%285%29-- | SQL: SHOW COLUMNS FROM `jd_items` [ RunTime:0.001225s ]
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%3BSELECT%20PG_SLEEP%285%29-- | SQL: SHOW COLUMNS FROM `jd_user` [ RunTime:0.001025s ]
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%3BSELECT%20PG_SLEEP%285%29-- | NOTIC: [8] Undefined index: id BaseAction.class.php 第 22 行.
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%3BSELECT%20PG_SLEEP%285%29-- | SQL: SHOW COLUMNS FROM `jd_items_cate` [ RunTime:0.000829s ]
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%3BSELECT%20PG_SLEEP%285%29-- | SQL: SHOW COLUMNS FROM `jd_items_tags` [ RunTime:0.000905s ]
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%3BSELECT%20PG_SLEEP%285%29-- | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%3BSELECT%20PG_SLEEP%285%29-- | SQL: SELECT `id`,`name`,`pid`,`is_index`,`img` FROM `jd_items_cate` WHERE pid=0 and is_del=0 ORDER BY ord desc LIMIT 10   [ RunTime:0.000483s ]
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%3BSELECT%20PG_SLEEP%285%29-- | SQL: SHOW COLUMNS FROM `jd_link` [ RunTime:0.000748s ]
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%3BSELECT%20PG_SLEEP%285%29-- | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%3BSELECT%20PG_SLEEP%285%29-- | SQL: SELECT `id`,`name`,`url` FROM `jd_link` WHERE is_del=0 ORDER BY ord desc LIMIT 6   [ RunTime:0.000392s ]
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%3BSELECT%20PG_SLEEP%285%29-- | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%3BSELECT%20PG_SLEEP%285%29-- | SQL: SELECT COUNT(ID) AS tp_count FROM `jd_items` WHERE status=1 and is_del=0 LIMIT 1   [ RunTime:0.000251s ]
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%3BSELECT%20PG_SLEEP%285%29-- | SQL: SHOW COLUMNS FROM `jd_items_cate` [ RunTime:0.000666s ]
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%3BSELECT%20PG_SLEEP%285%29-- | SQL: SHOW COLUMNS FROM `jd_items_tags` [ RunTime:0.000803s ]
