[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%3BSELECT%20DBMS_PIPE.RECEIVE_MESSAGE%28CHR%28102%29%7C%7CCHR%2869%29%7C%7CCHR%2876%29%7C%7CCHR%2883%29%2C5%29%20FROM%20DUAL-- | INFO: Tag[ app_begin ] --START--
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%3BSELECT%20DBMS_PIPE.RECEIVE_MESSAGE%28CHR%28102%29%7C%7CCHR%2869%29%7C%7CCHR%2876%29%7C%7CCHR%2883%29%2C5%29%20FROM%20DUAL-- | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000066s ]
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%3BSELECT%20DBMS_PIPE.RECEIVE_MESSAGE%28CHR%28102%29%7C%7CCHR%2869%29%7C%7CCHR%2876%29%7C%7CCHR%2883%29%2C5%29%20FROM%20DUAL-- | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000182s ]
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%3BSELECT%20DBMS_PIPE.RECEIVE_MESSAGE%28CHR%28102%29%7C%7CCHR%2869%29%7C%7CCHR%2876%29%7C%7CCHR%2883%29%2C5%29%20FROM%20DUAL-- | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%3BSELECT%20DBMS_PIPE.RECEIVE_MESSAGE%28CHR%28102%29%7C%7CCHR%2869%29%7C%7CCHR%2876%29%7C%7CCHR%2883%29%2C5%29%20FROM%20DUAL-- | SQL: SHOW COLUMNS FROM `jd_items` [ RunTime:0.001343s ]
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%3BSELECT%20DBMS_PIPE.RECEIVE_MESSAGE%28CHR%28102%29%7C%7CCHR%2869%29%7C%7CCHR%2876%29%7C%7CCHR%2883%29%2C5%29%20FROM%20DUAL-- | SQL: SHOW COLUMNS FROM `jd_user` [ RunTime:0.000766s ]
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%3BSELECT%20DBMS_PIPE.RECEIVE_MESSAGE%28CHR%28102%29%7C%7CCHR%2869%29%7C%7CCHR%2876%29%7C%7CCHR%2883%29%2C5%29%20FROM%20DUAL-- | NOTIC: [8] Undefined index: id BaseAction.class.php 第 22 行.
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%3BSELECT%20DBMS_PIPE.RECEIVE_MESSAGE%28CHR%28102%29%7C%7CCHR%2869%29%7C%7CCHR%2876%29%7C%7CCHR%2883%29%2C5%29%20FROM%20DUAL-- | SQL: SHOW COLUMNS FROM `jd_items_cate` [ RunTime:0.000587s ]
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%3BSELECT%20DBMS_PIPE.RECEIVE_MESSAGE%28CHR%28102%29%7C%7CCHR%2869%29%7C%7CCHR%2876%29%7C%7CCHR%2883%29%2C5%29%20FROM%20DUAL-- | SQL: SHOW COLUMNS FROM `jd_items_tags` [ RunTime:0.000554s ]
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%3BSELECT%20DBMS_PIPE.RECEIVE_MESSAGE%28CHR%28102%29%7C%7CCHR%2869%29%7C%7CCHR%2876%29%7C%7CCHR%2883%29%2C5%29%20FROM%20DUAL-- | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%3BSELECT%20DBMS_PIPE.RECEIVE_MESSAGE%28CHR%28102%29%7C%7CCHR%2869%29%7C%7CCHR%2876%29%7C%7CCHR%2883%29%2C5%29%20FROM%20DUAL-- | SQL: SELECT `id`,`name`,`pid`,`is_index`,`img` FROM `jd_items_cate` WHERE pid=0 and is_del=0 ORDER BY ord desc LIMIT 10   [ RunTime:0.000402s ]
