[ 2020-11-09T15:13:18+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20WAITFOR%20DELAY%20%270%3A0%3A5%27--%20LZNT | INFO: Tag[ app_begin ] --START--
[ 2020-11-09T15:13:18+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20WAITFOR%20DELAY%20%270%3A0%3A5%27--%20LZNT | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000034s ]
[ 2020-11-09T15:13:18+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20WAITFOR%20DELAY%20%270%3A0%3A5%27--%20LZNT | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000096s ]
[ 2020-11-09T15:13:18+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20WAITFOR%20DELAY%20%270%3A0%3A5%27--%20LZNT | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2020-11-09T15:13:18+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20WAITFOR%20DELAY%20%270%3A0%3A5%27--%20LZNT | SQL: SHOW COLUMNS FROM `jd_items` [ RunTime:0.000392s ]
[ 2020-11-09T15:13:18+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20WAITFOR%20DELAY%20%270%3A0%3A5%27--%20LZNT | SQL: SHOW COLUMNS FROM `jd_user` [ RunTime:0.000356s ]
[ 2020-11-09T15:13:18+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20WAITFOR%20DELAY%20%270%3A0%3A5%27--%20LZNT | NOTIC: [8] Undefined index: id BaseAction.class.php 第 22 行.
[ 2020-11-09T15:13:18+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20WAITFOR%20DELAY%20%270%3A0%3A5%27--%20LZNT | SQL: SHOW COLUMNS FROM `jd_items_cate` [ RunTime:0.000292s ]
[ 2020-11-09T15:13:18+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20WAITFOR%20DELAY%20%270%3A0%3A5%27--%20LZNT | SQL: SHOW COLUMNS FROM `jd_items_tags` [ RunTime:0.000278s ]
[ 2020-11-09T15:13:18+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20WAITFOR%20DELAY%20%270%3A0%3A5%27--%20LZNT | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T15:13:18+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20WAITFOR%20DELAY%20%270%3A0%3A5%27--%20LZNT | SQL: SELECT `id`,`name`,`pid`,`is_index`,`img` FROM `jd_items_cate` WHERE pid=0 and is_del=0 ORDER BY ord desc LIMIT 10   [ RunTime:0.000231s ]
[ 2020-11-09T15:13:18+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20WAITFOR%20DELAY%20%270%3A0%3A5%27--%20LZNT | SQL: SHOW COLUMNS FROM `jd_link` [ RunTime:0.000267s ]
[ 2020-11-09T15:13:18+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20WAITFOR%20DELAY%20%270%3A0%3A5%27--%20LZNT | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T15:13:18+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20WAITFOR%20DELAY%20%270%3A0%3A5%27--%20LZNT | SQL: SELECT `id`,`name`,`url` FROM `jd_link` WHERE is_del=0 ORDER BY ord desc LIMIT 6   [ RunTime:0.000161s ]
[ 2020-11-09T15:13:18+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20WAITFOR%20DELAY%20%270%3A0%3A5%27--%20LZNT | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T15:13:18+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20WAITFOR%20DELAY%20%270%3A0%3A5%27--%20LZNT | SQL: SELECT COUNT(ID) AS tp_count FROM `jd_items` WHERE status=1 and is_del=0 LIMIT 1   [ RunTime:0.000262s ]
[ 2020-11-09T15:13:18+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20WAITFOR%20DELAY%20%270%3A0%3A5%27--%20LZNT | SQL: SHOW COLUMNS FROM `jd_items_cate` [ RunTime:0.000295s ]
