[ 2020-11-09T15:13:18+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%20ORDER%20BY%201--%20SJWj | INFO: Tag[ app_begin ] --START--
[ 2020-11-09T15:13:18+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%20ORDER%20BY%201--%20SJWj | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000054s ]
[ 2020-11-09T15:13:18+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%20ORDER%20BY%201--%20SJWj | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000153s ]
[ 2020-11-09T15:13:18+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%20ORDER%20BY%201--%20SJWj | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2020-11-09T15:13:18+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%20ORDER%20BY%201--%20SJWj | SQL: SHOW COLUMNS FROM `jd_items` [ RunTime:0.000613s ]
[ 2020-11-09T15:13:18+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%20ORDER%20BY%201--%20SJWj | SQL: SHOW COLUMNS FROM `jd_user` [ RunTime:0.000596s ]
[ 2020-11-09T15:13:18+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%20ORDER%20BY%201--%20SJWj | NOTIC: [8] Undefined index: id BaseAction.class.php 第 22 行.
[ 2020-11-09T15:13:18+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%20ORDER%20BY%201--%20SJWj | SQL: SHOW COLUMNS FROM `jd_items_cate` [ RunTime:0.000396s ]
[ 2020-11-09T15:13:18+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%20ORDER%20BY%201--%20SJWj | SQL: SHOW COLUMNS FROM `jd_items_tags` [ RunTime:0.000551s ]
[ 2020-11-09T15:13:18+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%20ORDER%20BY%201--%20SJWj | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T15:13:18+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%20ORDER%20BY%201--%20SJWj | SQL: SELECT `id`,`name`,`pid`,`is_index`,`img` FROM `jd_items_cate` WHERE pid=0 and is_del=0 ORDER BY ord desc LIMIT 10   [ RunTime:0.000267s ]
[ 2020-11-09T15:13:18+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%20ORDER%20BY%201--%20SJWj | SQL: SHOW COLUMNS FROM `jd_link` [ RunTime:0.000461s ]
[ 2020-11-09T15:13:18+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%20ORDER%20BY%201--%20SJWj | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T15:13:18+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%20ORDER%20BY%201--%20SJWj | SQL: SELECT `id`,`name`,`url` FROM `jd_link` WHERE is_del=0 ORDER BY ord desc LIMIT 6   [ RunTime:0.000194s ]
[ 2020-11-09T15:13:18+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%20ORDER%20BY%201--%20SJWj | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T15:13:18+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%20ORDER%20BY%201--%20SJWj | SQL: SELECT COUNT(ID) AS tp_count FROM `jd_items` WHERE status=1 and is_del=0 LIMIT 1   [ RunTime:0.000168s ]
[ 2020-11-09T15:13:18+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%20ORDER%20BY%201--%20SJWj | SQL: SHOW COLUMNS FROM `jd_items_cate` [ RunTime:0.000341s ]
[ 2020-11-09T15:13:18+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%20ORDER%20BY%201--%20SJWj | SQL: SHOW COLUMNS FROM `jd_items_tags` [ RunTime:0.000441s ]
[ 2020-11-09T15:13:18+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%20ORDER%20BY%201--%20SJWj | SQL: SHOW COLUMNS FROM `jd_items_tags_item` [ RunTime:0.000274s ]
[ 2020-11-09T15:13:18+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%20ORDER%20BY%201--%20SJWj | NOTIC: [8] Undefined index: sortby CateAction.class.php 第 107 行.
[ 2020-11-09T15:13:18+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%20ORDER%20BY%201--%20SJWj | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T15:13:18+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%20ORDER%20BY%201--%20SJWj | SQL: SELECT `name`,`pid`,`seo_title`,`seo_keys`,`seo_desc` FROM `jd_items_tags` WHERE id=4 and is_del=0 LIMIT 1   [ RunTime:0.000254s ]
[ 2020-11-09T15:13:18+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%20ORDER%20BY%201--%20SJWj | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T15:13:18+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%20ORDER%20BY%201--%20SJWj | SQL: SELECT * FROM `jd_items_cate` WHERE id = 1 and is_del=0 and pid=0 LIMIT 1   [ RunTime:0.000178s ]
[ 2020-11-09T15:13:18+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%20ORDER%20BY%201--%20SJWj | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T15:13:18+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%20ORDER%20BY%201--%20SJWj | SQL: SELECT * FROM `jd_items_cate` WHERE pid = 1 and is_del = 0 ORDER BY ord desc LIMIT 10   [ RunTime:0.000255s ]
[ 2020-11-09T15:13:18+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%29%20ORDER%20BY%201--%20SJWj | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
