[ 2020-11-09T16:15:32+08:00 ] /index.php?a=index&m=Link&g=Admin | INFO: Tag[ app_begin ] --START--
[ 2020-11-09T16:15:32+08:00 ] /index.php?a=index&m=Link&g=Admin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000040s ]
[ 2020-11-09T16:15:32+08:00 ] /index.php?a=index&m=Link&g=Admin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000095s ]
[ 2020-11-09T16:15:32+08:00 ] /index.php?a=index&m=Link&g=Admin | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2020-11-09T16:15:32+08:00 ] /index.php?a=index&m=Link&g=Admin | SQL: SHOW COLUMNS FROM `jd_link` [ RunTime:0.000366s ]
[ 2020-11-09T16:15:32+08:00 ] /index.php?a=index&m=Link&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T16:15:32+08:00 ] /index.php?a=index&m=Link&g=Admin | SQL: SELECT COUNT(*) AS tp_count FROM `jd_link` WHERE is_del=0 LIMIT 1   [ RunTime:0.000482s ]
[ 2020-11-09T16:15:32+08:00 ] /index.php?a=index&m=Link&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T16:15:32+08:00 ] /index.php?a=index&m=Link&g=Admin | SQL: SELECT * FROM `jd_link` WHERE is_del=0 ORDER BY ord desc LIMIT 0,10   [ RunTime:0.000329s ]
[ 2020-11-09T16:15:32+08:00 ] /index.php?a=index&m=Link&g=Admin | INFO: Tag[ view_template ] --START--
[ 2020-11-09T16:15:32+08:00 ] /index.php?a=index&m=Link&g=Admin | INFO: Run LocationTemplate Behavior [ RunTime:0.000185s ]
[ 2020-11-09T16:15:32+08:00 ] /index.php?a=index&m=Link&g=Admin | INFO: Tag[ view_template ] --END-- [ RunTime:0.000221s ]
[ 2020-11-09T16:15:32+08:00 ] /index.php?a=index&m=Link&g=Admin | INFO: Tag[ view_parse ] --START--
[ 2020-11-09T16:15:32+08:00 ] /index.php?a=index&m=Link&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2020-11-09T16:15:32+08:00 ] /index.php?a=index&m=Link&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T16:15:32+08:00 ] /index.php?a=index&m=Link&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T16:15:32+08:00 ] /index.php?a=index&m=Link&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2020-11-09T16:15:32+08:00 ] /index.php?a=index&m=Link&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T16:15:32+08:00 ] /index.php?a=index&m=Link&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T16:15:32+08:00 ] /index.php?a=index&m=Link&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T16:15:32+08:00 ] /index.php?a=index&m=Link&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T16:15:32+08:00 ] /index.php?a=index&m=Link&g=Admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
